,id,room_type,price,calculated_host_listings_count,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,cancellation_policy,Wifi,Heating,Kitchen,Essentials,Washer,Smoke detector,Hangers,Hair dryer,TV,Iron,Shampoo,Laptop friendly workspace,Hot water,Elevator,Family/kid friendly,Internet,Dryer,Refrigerator,Bed linens,Dishes and silverware,Cable TV,Cooking basics,Coffee maker
0,3109,0,75,1,2,100,1,2,1.0,0.0,0.0,4,50.0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,5396,0,115,1,3,100,1,2,1.0,0.0,1.0,3,36.0,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0
2,7397,0,115,1,3,100,1,4,1.0,2.0,2.0,4,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0
4,9359,0,75,1,1,67,1,2,1.0,1.0,1.0,4,200.0,3,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5,9952,0,75,1,2,100,1,2,1.0,1.0,1.0,4,20.0,3,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1
8,10710,0,90,1,3,100,1,4,1.0,1.0,2.0,4,60.0,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0
11,11265,0,100,1,2,100,1,2,1.0,1.0,1.0,4,80.0,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
13,11798,0,110,1,2,100,16,3,1.0,1.0,1.0,4,30.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
14,11848,0,79,1,2,90,1,3,1.0,0.0,2.0,4,25.0,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0
16,12452,0,100,1,3,100,1,4,1.0,2.0,3.0,4,50.0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
17,14264,0,110,1,1,60,1,2,1.0,1.0,1.0,4,30.0,3,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0
19,16455,0,55,2,2,100,1,5,1.0,1.0,3.0,4,50.0,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
20,16457,0,78,1,1,100,1,2,1.0,1.0,1.0,4,30.0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1
21,16626,1,100,3,3,100,1,4,1.5,1.0,2.0,4,75.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
