id,nombre,promedio,n_airbnbs,promedio_normalizado
0,Tour Eiffel,192.31698455949137,3303,92.32546537663097
1,Musée du Louvre,169.18814168377824,7792,81.22201974485614
2,Cathédrale Notre-Dame de Paris,160.93551119177255,8265,77.26018583558898
3,Musée d'Orsay,184.02936194240542,5313,88.34683282506005
4,"Palais Garnier, Opéra National de Paris",151.28383381324556,7293,72.62671257435474
5,Place de la Concorde,189.9991105181232,4497,91.2127253862245
6,Arc de Triomphe,207.6227588730333,2733,99.67329656109044
7,Seine River Cruises - Green River Cruises,128.1596148973904,3947,61.52548676339682
8,Seine River Cruises - Bateaux Parisiens,201.60680061823803,3235,96.78522015518911
9,Seine River Cruises - Vedettes de Paris,192.7058100215186,3253,92.51212851412855
10,Seine River Cruises - Batobus Tour Eiffel,195.5396388123661,3267,93.87256250029972
11,Seine River Cruises - River Cruise Port,199.1820693890083,3257,95.62118131761763
12,Seine River Cruises - Bateau mouche,206.37348300970874,3296,99.07355766788025
13,Seine River Cruises - River Limousine,208.30329289428076,3462,100.0
14,Seine River Cruises - Seine Avenue,171.39774832549523,7017,82.28278388881925
15,Seine River Cruises - Vedettes du Pont Neuf,169.27106548140728,7987,81.26182890796483
16,Seine River Cruises - Bateaux Parisiens,163.46865596790371,7976,78.47627068040075
17,Sainte Chapelle,165.7879268292683,8200,79.58968124109775
18,Le Jardin du Luxembourg,162.33998698199176,4609,77.93443143713694
19,Basílica del Sacré Cœur,110.10135638694291,6709,52.85627262878757
20,Panthéon,163.25037965072133,5268,78.37148293837825
21,Place de Vosges,139.11933148818395,9394,66.78690939311774
22,Place Vendôme,168.5386114859799,6669,80.9102002873846
23,Le Centre Pompidou,151.4534731323722,9919,72.70815119050408
24,Les Invalides,186.7126148705096,3591,89.63497997377846
25,Domaine National du Palais-Royal,166.1885521885522,8019,79.78200914610464
26,Place de Bastille,137.52604957005565,7908,66.02202378041792
27,Tour Saint-Jacques,159.01451666116793,9093,76.33797548360019
28,La Conciergerie,165.03834096937544,8294,79.22982813965241
29,Fondation Louis Vuitton,203.1143790849673,612,97.50896217855426
30,Parc de la Villette,86.44990723562152,1078,41.50193980826653
31,Paris Plages,162.21663244353184,8766,77.87521271968606
32,Cimetière du Père Lachaise,96.31471981057616,5068,46.23773271767641
33,Parc des Buttes-Chaumont,90.72565759113982,4334,43.554595959836995
34,Grand Arche of La Défense,0.0,0,0.0
