,address,category,details,id,lat,lng,location,name,numReviews,originalId,polarity,reviews,subCategory,geometry
0,"23 Rue de Sévigné, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83598,83598,48.85768,2.362752,Paris,Carnavalet Museum,32.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83598,,POINT (2.362752 48.85768)
1,"5 Avenue Dutuit, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83534,83534,48.866084,2.31467,Paris,Petit Palais,33.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83534,,POINT (2.31467 48.866084)
2,"211 Avenue Jean Jaurès, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83500,83500,48.893849,2.39026,Paris,Parc de La Villette,35.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83500,,POINT (2.39026 48.893849)
3,"11 Place du Trocadéro et du 11 Novembre, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83458,83458,48.861596,2.289282,Paris,Jardins du Trocadéro,29.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83458,,POINT (2.289282 48.861596)
4,"Port des Champs Elysées, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83455,83455,48.864316,2.314042,Paris,Le Showcase,36.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83455,,POINT (2.314042 48.864316)
5,"18 Rue de la Croix Nivert, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83423,83423,48.847077,2.300165,Paris,Back Up,11.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83423,,POINT (2.300165 48.847077)
6,"167 Quai de Valmy, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83425,83425,48.879121,2.366482,Paris,Bizz'Art,17.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83425,,POINT (2.366482 48.879121)
7,"24 Rue de l'Arrivée, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83428,83428,48.842187,2.321283,Paris,Mix Club,18.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83428,,POINT (2.321283 48.842187)
8,"2Bis Avenue Foch, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83450,83450,48.873705,2.2923400000000003,Paris,Le Duplex,27.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83450,,POINT (2.29234 48.873705)
9,"Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83460,83460,48.862407,2.249046,Paris,Bois de Boulogne,25.0,,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83460,,POINT (2.249046 48.862407)
10,"109 Rue Oberkampf, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83479,83479,48.865867,2.377842,Paris,Nouveau Casino,36.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83479,,POINT (2.377842 48.865867)
11,"60 Rue des Francs Bourgeois, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83477,83477,48.859954,2.35725,Paris,Archives Nationales,8.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83477,,POINT (2.35725 48.859954)
12,"128 Quai de Bercy, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83505,83505,48.836316,2.381295,Paris,Parc De Bercy,26.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83505,,POINT (2.381295 48.836316)
13,"Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83509,83509,48.839518,2.350012,Paris,Square Saint-Médard,1.0,,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83509,,POINT (2.350012 48.839518)
14,"293 Avenue Daumesnil, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83513,83513,48.834957,2.408546,Paris,Palais de la Porte Dorée,20.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83513,,POINT (2.408546 48.834957)
15,"2 Boulevard du Palais, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83524,83524,48.856246,2.345792,Paris,Conciergerie,23.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83524,,POINT (2.345792 48.856246)
16,"Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83536,83536,48.831305,2.355563,Paris,Square de la Place d'Italie,13.0,,3.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83536,,POINT (2.355563 48.831305)
17,"35bis Rue Paul Valéry, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83599,83599,48.871626,2.288092,Paris,Musée Dapper,3.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83599,,POINT (2.288092 48.871626)
18,"Avenue Franklin Delano Roosevelt, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83600,83600,48.866208,2.310885,Paris,Palais de la Découverte,26.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83600,,POINT (2.310885 48.866208)
19,"57 Rue Cuvier, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83603,83603,48.843657,2.356175,Paris,The National Museum of Natural History,20.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83603,,POINT (2.356175 48.843657)
20,"16 Rue de la Faisanderie, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83604,83604,48.870167,2.276793,Paris,Musée de la Contrefaçon,7.0,,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83604,,POINT (2.276793 48.870167)
21,"5 Square Charles Dickens, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83605,83605,48.85747,2.284625,Paris,Musée du Vin,11.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83605,,POINT (2.284625 48.85747)
22,"2 Rue Ronsard, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83608,83608,48.884756,2.344528,Paris,Halle Saint-Pierre,13.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83608,,POINT (2.344528 48.884756)
23,"7 Avenue de Clichy, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83711,83711,48.884331,2.326876,Paris,Cinéma des Cinéastes,23.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83711,,POINT (2.326876 48.884331)
24,"39 Boulevard de Strasbourg, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83712,83712,48.871809,2.355246,Paris,Le Brady,17.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83712,,POINT (2.355246 48.871809)
25,"2 Rue du cinéma, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83713,83713,48.862981,2.345618,Paris,Forum des Images,16.0,,4.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83713,,POINT (2.345618 48.862981)
26,"5 Avenue Mac-Mahon, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83714,83714,48.875472,2.294605,Paris,Mac-Mahon,4.0,,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83714,,POINT (2.294605 48.875472)
27,"110 Rue Amelot, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83716,83716,48.863352,2.367486,Paris,Cirque d'hiver Bouglione,14.0,,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83716,,POINT (2.367486 48.863352)
28,"20-40 Avenue du Général Sarrail, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83722,83722,48.843152,2.252804,Paris,Stade Jean-Bouin,6.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83722,,POINT (2.252804 48.843152)
29,"101Bis Quai Branly, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83725,83725,48.854788,2.289521,Paris,Maison de la Culture du Japon,9.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83725,,POINT (2.289521 48.854788)
30,"18 Rue de Passy, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83742,83742,48.858259,2.282304,Paris,Majestic Passy,13.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83742,,POINT (2.282304 48.858259)
31,"68 Boulevard Poniatowski, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83775,83775,48.832162,2.399346,Paris,Léo-Lagrange Stadium,4.0,,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83775,,POINT (2.399346 48.832162)
32,"2 Rue Jacques Baudry, Paris, France",attraction,http://tour-pedia.org/api/getPlaceDetails?id=83812,83812,48.831553,2.300047,Paris,Parc Georges Brassens,26.0,,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83812,,POINT (2.300047 48.831553)
