,id,room_type,price,calculated_host_listings_count,latitude,longitude,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,cancellation_policy,Wifi,Heating,Kitchen,Essentials,Washer,Smoke detector,Hangers,Hair dryer,TV,Iron,Shampoo,Laptop friendly workspace,Hot water,Elevator,Family/kid friendly,Internet,Dryer,Refrigerator,Bed linens,Dishes and silverware,Cable TV,Cooking basics,Coffee maker,label
0,3109,0,75,1,48.83349,2.31852,2,100,1,2,1,0,0,4,50,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
1,5396,0,115,1,48.851,2.35869,3,100,1,2,1,0,1,3,36,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0
2,7397,0,115,1,48.85758,2.35275,3,100,1,4,1,2,2,4,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0
4,9359,0,75,1,48.85899,2.34735,1,67,1,2,1,1,1,4,200,3,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5,9952,0,75,1,48.86227,2.37134,2,100,1,2,1,1,1,4,20,3,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0
8,10710,0,90,1,48.879,2.31608,3,100,1,4,1,1,2,4,60,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0
11,11265,0,100,1,48.88434,2.34005,2,100,1,2,1,1,1,4,80,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
13,11798,0,110,1,48.82405,2.36828,2,100,16,3,1,1,1,4,30,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
14,11848,0,79,1,48.86578,2.37705,2,90,1,3,1,0,2,4,25,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0
16,12452,0,100,1,48.85909,2.37704,3,100,1,4,1,2,3,4,50,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
