,lat,lng,name
60,48.829843,2.346963,Lekerc
67,48.826696824082,2.3902395928575,navette fluviale
141,48.865006,2.261875,Barque 79
312,48.835710999999996,2.459202,Barque sur le lac des Minimes
352,48.875916915894,2.245193730391,Pandore Nico
376,48.840611847867,2.3730662836362,Péniche Les flots
427,48.891939390191,2.384932355124,Embarcadère Paris Canal
1078,48.851889007179004,2.3497545719147004,Batobus [Notre Dame]
24325,48.862078000000004,2.322534,Concorde Atlantique
24335,48.860423405685,2.2939538955687997,Bateaux Parisiens
24348,48.847914262204,2.36332654953,Yachts de Paris
24352,48.860949101226,2.3258543470516004,Marina de Paris (La)
24375,48.858872980256,2.2916269279252997,Vedettes de Paris
24549,48.852009021214,2.2803497314452996,Péniche River's King
24596,48.857402296155,2.3409461975098,Les Vedettes du Pont Neuf
24628,48.841700884911006,2.2714984416962,Thalassa Boat
24656,48.862241444847,2.294233286178,Port Debilly
24690,48.896753951365994,2.3833577386377,Embarcadère Icade
24722,48.878002926688005,2.366019487381,Écluse Valmy
24734,48.85527154108,2.3426130208391003,Paris En Seine
24740,48.884648628471005,2.3719551177215,Navette MK2 - Zéro de Conduite
24766,48.859787669915,2.327508633455,Batobus [Tour Eiffel]
24769,48.896734674352,2.383233,On The Boat !
24794,48.841228026277,2.3724610984664,Le VIP Paris
24877,48.837194082317,2.3746452246292002,La Baleine Blanche de Bercy
24897,48.863103036354,2.2613194587712,Bateau Passerelle Chalet Des Iles
25021,48.863132250091,2.3023509811595,Seine Cruise
