,lat,lng,name
221,48.866309514072,2.2714266934157004,Bus PC1 - Dufrenoy
238,48.863067,2.269279,Bus 63
326,48.836869963402,2.4442479315337002,Petit Train Du Parc Floral De Paris
366,48.831820821127,2.3881914113589997,"Arrêt Terroirs de France [24, 109, 111]"
390,48.859481292324,2.2682935160744,Arrêt Ranelagh [32]
410,48.874624190018,2.2952264191253,Arrêt Charles De Gaulle - Mac Mahon [92]
424,48.828056993323,2.331976890564,Bus 62 La Tombe Issoire
447,48.875189282907,2.2795489839992,Arrêt Marbeau [PC1]
494,48.834737679872,2.3051083743325003,"Brancion-Vouillé [62,89,95]"
536,48.854640751565,2.3859463617866,Arrêt Ligne 76 : Charonne-Voltaire
540,48.893211403902995,2.3225693573279,"Arrêt Rue des Moines [54,74,N15,N51]"
564,48.881371286912,2.3650126797279,"Arrêt Louis Blanc [26,46,54]"
569,48.891393249393,2.3610821974598997,"Place De Torcy [35,60]"
580,48.890283080765,2.3597682292863,"Arret Ordener - Marx Dormoy [35,60,65, N43]"
587,48.867982855258,2.4015610736958997,61 Arrêt Gambetta-Mairie du 20
622,48.857457435354995,2.2649397122095,Raffet
623,48.866487791148,2.2717199472496,Longchamp PC
624,48.850559390122996,2.2729860619195,"Arrêt Perrichont [22,52]"
640,48.834034241831,2.307698989106,Bus 62
659,48.834431409128,2.4118754564592,Arrêt Place Edouard Renard [46]
660,48.835870625367,2.4147387517861,Arrêt Alphand [46]
661,48.836566536287,2.4183036570203003,Arrêt Sainte Marie - République [46]
662,48.83539366155,2.4214461506089,Arrêt Saint Mandé - Demi Lune - Parc Zoologique [46]
677,48.849594294906,2.2684864397816003,"Arrêt George Sand - La Fontaine [22,52]"
689,48.830261731679,2.3190903827892004,Arrêt Alésia-Didot [62]
695,48.835246999999995,2.420114,Bus 46 - Arrêt Demi-Lune Parc Zoologique
697,48.845748751225,2.2500148255903,Arrêt Stade Roland Garros [123]
698,48.846488725866,2.2564816450116,[PC1] Dufrenoy
738,48.876253014362,2.3574578762054,"Arrêt Gare de l'Est Noctilien [N140,N141,N142,N143,N144,N145]"
744,48.85332406227101,2.2620011085573997,[PC1] Raffet
748,48.837276709205,2.2773790624671,Place balard 42 88
821,48.848022672501,2.2573337783459,Terminus 32
824,48.872039,2.284807,Foch [82]
835,48.885653844755,2.29676142367,"Arrêt Péreire - Le Châtelier [84,92,93,341,N52,N16]"
850,48.835719973828,2.4068825361139,Bus 46
862,48.820052501957996,2.3527996793091,Bus 57 - Arrêt Poterne des peupliers
912,48.84496241987001,2.2515084095549,Arrêt 52 - La Tourelle
929,48.844522236291,2.405729770763,Arrêt Avenue de Saint-Mandé [64]
936,48.880945317333,2.3735627470883998,Arrêt Marché Secrétan [26]
938,48.83980178833,2.4034736156464,Louis Braille [64]
955,48.845619103149005,2.2554252092217,"Arrêt Porte Molitor [52, 123]"
958,48.848000697479,2.2740010355027995,Arrêt Pont Mirabeau [72]
964,48.848166770183,2.2589047888532,Arrêt de bus - Porte d'Auteuil [32]
968,48.880486,2.28298,Megabus Paris - Amsterdam
1009,48.859536,2.239312,Bus 241
1040,48.865097045898,2.2343015670776,Arrêt Hippodrome de Longchamp [241]
1082,48.823071,2.330804,Montsouris-Tombe Issoire [88]
1107,48.869415999999994,2.285815,Arret Victor Hugo Poincaré
24608,48.880067741033,2.2825903706216,Parking - Bus Beauvais
24667,48.851686166801,2.3145742847918,Arrêt 82 92 87 St. François Xavier
24673,48.825903557602,2.3359822334333,OrlyBus
24736,48.825860346776,2.3455166816711,Arrêt Vergniaud [62]
24833,48.839540861308,2.2912200801707003,Arrêt Convention-Lecourbe [62]
24871,48.874298402818006,2.2943615913391,Les Cars Air France
24892,48.839526020733004,2.3996436595917,Picpus - Reuilly [bus 29]
24894,48.863583319369,2.3072179242951,Les Cars Rouges
24929,48.859125074545005,2.3036902017446,Arrêt 92 - 80 Bosquet Saint Dominique
25003,48.898683,2.357957,Bus 166
