,lat,lng,name
248,48.841597657129,2.4282331580699,Avenue des Minimes
473,48.846429,2.258532,Equatour
531,48.858615254124004,2.2758614989988,Eliza Les Ailes Du Voyage
542,48.866585970001005,2.2778200383397,Kuoni - cap sur les maldives
750,48.831592362765,2.3643168132874,Internet
1038,48.871978359871996,2.3451352591109,Arco Del Triunfo
1080,48.883915487487,2.3569586422865,"París,Francia"
1184,48.889745138372,2.3933848499933,Parking Vinci
24467,48.896874097985,2.3797416687012003,Groupe Pierre & Vacances - Center Parcs
24664,48.864213673968,2.3322851054495,Cityrama
24861,48.871645089504995,2.3477268218994,Comite Regional du Tourisme d'Ile-de-France
24935,48.827996694986,2.3524281068528996,Tangka Voyages
25015,48.854113446169,2.3762746958021,Эйфелева Башня
