,lat,lng,name
0,48.860440894381,2.3851696890505,Salle Olympe de Gouges
2,48.851501484831,2.3599297580558,Hôtel de Lauzun
5,48.8647999992,2.4007185796202,Rue Belgrand
65,48.86418189137299,2.3008686304092003,Flamme de la Liberté
307,48.873627189661,2.3981652156543,Château d'eau de Belleville
679,48.847194,2.313514,Unité Lycées région Ile-de-France
846,48.864639703703006,2.2942955978134,George Washington
852,48.86783,2.3691139999999997,555Lab
947,48.857559205377996,2.288607889242,Monument de la France Renaissante
960,48.861653000000004,2.271902,Ambassade de la République du Congo
1110,48.855639552906,2.3230092017176003,Rue De Grenell
24326,48.862300919263,2.288224697113,Palais de Chaillot
24328,48.873796999999996,2.294952,Arc de Triomphe
24330,48.846283325284006,2.3460638523102,Panthéon
24331,48.848776,2.337293,Palais du Luxembourg
24339,48.85339733802301,2.3478759174598998,Crypte Archéologique du Parvis Notre-Dame
24404,48.861018076911,2.3358714580536004,Pyramide du Louvre
24571,48.861708027847,2.332878112793,Arc de Triomphe du Carrousel
24720,48.850035,2.279684,Statue de la Liberté
24757,48.86547700368,2.3211193084717,Obélisque de la Concorde
25022,48.861393,2.3341380000000003,Pyramide Inversée du Louvre
