,lat,lng,name
11,48.876417096043994,2.2976429720385,EDF (bâtiment Wagram)
186,48.846250316302005,2.3689145492659,Mairie de Paris - Direction des Systèmes et Technologies de l'Information
421,48.872081,2.318262,Direction Centrale Securite Publique
24485,48.860719146243,2.318986413622,LCP (La Chaîne Parlementaire - Assemblée nationale)
24505,48.866225,2.2948060000000003,Bureau International des Expositions
24587,48.862802048197004,2.3428130149841,CCI Paris Île-de-France - Bourse du commerce
24620,48.856378279388,2.2931542815653,Alcatel-Lucent HQ
24710,48.868426281602,2.296740633333,Orange Rive Droite
24716,48.835401992999,2.3637771606445,Institut du Cerveau et de la Moelle épinière (ICM)
24738,48.833339851809995,2.2687196731567,Bouygues Telecom - Sequana
24759,48.859537943738005,2.3263104534443997,Caisse des Dépôts et Consignations
