,lat,lng,name
185,48.89275699775,2.3524162580075,Shurgard
341,48.8886400791,2.3975576320562997,Préfourière de Pantin
345,48.866053872467006,2.2744748604699,Idocar
384,48.847353344678,2.2611472544295,Garage
401,48.874671455111,2.3018726564985,Park Alizée
409,48.859310749635,2.4093668369102,Le Saint Blaise
415,48.857801239429996,2.2635945531852,C2
429,48.839499237885,2.2622586462941,Vinci Park - Versailles - Paul Reynaud
481,48.888250730535,2.3683343215825,Cardy Garage
485,48.834051500525,2.3982845327346,Pré-Fourrière Bercy
506,48.874866824692,2.3081619528834,Parking Vinci Haussmann-Berri
529,48.829933190138995,2.375170864102,Passage Des Crayons
552,48.851293146422,2.369012550758,Parking Vinci
607,48.853024495126,2.2775053407386,Parking Radio France
783,48.89559348974,2.3925686578919,Parking La Villette
859,48.819220886123,2.3485677810894,Fourrière charlety
910,48.884157683226995,2.315333566256,Garage Securitas
928,48.823576,2.327529,Centre Bus De Montrouge
942,48.831891362902,2.3435224732376,Mon Garage
943,48.88531,2.329336,Parking Redele
952,48.878075053267004,2.3717719929462002,Parking A Class
963,48.844385242300994,2.2873442802865,Kimiko's Garage
1079,48.887722628346005,2.3475929878022,Parking Rue de Clignancourt
1106,48.823805,2.365543,Parking Tang Frères
24714,48.899595743656995,2.3203936315887,Fourriere Porte Pouchet
24886,48.838250377391006,2.2711601506237997,Pré-fourrière Balard
