,id,room_type,price,minimum_nights_x,number_of_reviews,reviews_per_month,calculated_host_listings_count,host_response_time,host_response_rate,property_type,accommodates,bathrooms,bedrooms,beds,bed_type,cleaning_fee,minimum_nights_y,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,group
0.0,3109.0,0.0,75.0,3.0,8.0,0.28,1.0,2.0,100.0,1.0,2.0,1.0,0.0,0.0,4.0,50.0,3.0,15.0,3.0,3.0,15.0,15.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0
1.0,5396.0,0.0,115.0,1.0,173.0,1.44,1.0,3.0,100.0,1.0,2.0,1.0,0.0,1.0,3.0,36.0,1.0,90.0,1.0,1.0,90.0,90.0,91.0,9.0,8.0,9.0,9.0,10.0,9.0,2.0,0.0
2.0,7397.0,0.0,115.0,10.0,243.0,2.47,1.0,3.0,100.0,1.0,4.0,1.0,2.0,2.0,4.0,50.0,10.0,23.0,2.0,10.0,23.0,23.0,94.0,10.0,9.0,10.0,10.0,10.0,10.0,1.0,0.0
5.0,9952.0,0.0,75.0,5.0,17.0,0.23,1.0,2.0,100.0,1.0,2.0,1.0,1.0,1.0,4.0,20.0,5.0,120.0,5.0,5.0,120.0,120.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,1.0
8.0,10710.0,0.0,90.0,3.0,40.0,0.36,1.0,3.0,100.0,1.0,4.0,1.0,1.0,2.0,4.0,60.0,3.0,730.0,3.0,3.0,730.0,730.0,88.0,9.0,9.0,10.0,10.0,10.0,9.0,2.0,3.0
11.0,11265.0,0.0,100.0,7.0,13.0,0.37,1.0,2.0,100.0,1.0,2.0,1.0,1.0,1.0,4.0,80.0,7.0,90.0,7.0,7.0,90.0,90.0,95.0,10.0,10.0,9.0,9.0,10.0,10.0,2.0,3.0
13.0,11798.0,0.0,110.0,2.0,78.0,0.97,1.0,2.0,100.0,15.0,3.0,1.0,1.0,1.0,4.0,30.0,2.0,20.0,2.0,2.0,20.0,20.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0
14.0,11848.0,0.0,79.0,30.0,312.0,3.02,1.0,2.0,90.0,1.0,3.0,1.0,0.0,2.0,4.0,25.0,30.0,305.0,30.0,30.0,305.0,305.0,90.0,9.0,9.0,10.0,10.0,10.0,9.0,2.0,0.0
16.0,12452.0,0.0,100.0,5.0,11.0,0.89,1.0,3.0,100.0,1.0,4.0,1.0,2.0,3.0,4.0,50.0,5.0,90.0,5.0,5.0,90.0,90.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,1.0
17.0,14264.0,0.0,110.0,7.0,9.0,0.12,1.0,1.0,60.0,1.0,2.0,1.0,1.0,1.0,4.0,30.0,7.0,365.0,7.0,7.0,365.0,365.0,90.0,9.0,9.0,9.0,10.0,10.0,9.0,2.0,1.0
